id,name,description,price,image,category,tags
1,Bolo de Chocolate,Delicioso bolo de chocolate com cobertura de ganache.,45.00,/assets/images/products/1.jpg,Bolos,chocolate;festa
2,Brigadeiro Gourmet,Caixa com 6 brigadeiros gourmet variados.,12.00,/assets/images/products/2.jpg,Doces,brigadeiro;presente
3,Torta de Limão,Torta de limão com merengue suíço.,35.00,/assets/images/products/3.jpg,Especiais,limao;torta
4,Cupcake Red Velvet,Cupcake macio com cobertura de cream cheese.,8.50,/assets/images/products/4.jpg,Bolos,cupcake;redvelvet
5,Macarons,Caixa com 5 macarons coloridos.,25.00,/assets/images/products/5.jpg,Doces,frances;macaron
6,Bolo de Cenoura,Clássico bolo de cenoura com cobertura de chocolate.,38.00,/assets/images/products/6.jpg,Bolos,cenoura;chocolate
7,Cheesecake de Frutas,Cheesecake cremoso com calda de frutas vermelhas.,42.00,/assets/images/products/7.jpg,Especiais,cheesecake;frutas
8,Brownie de Nozes,Brownie molhadinho com pedaços de nozes.,10.00,/assets/images/products/8.jpg,Doces,brownie;chocolate
9,Bolo de Morango,Bolo branco com recheio de morango e chantilly.,55.00,/assets/images/products/9.jpg,Bolos,morango;festa
10,Torta de Maçã,Torta de maçã americana com canela.,32.00,/assets/images/products/10.jpg,Especiais,maca;torta
11,Donuts Glaceados,Caixa com 4 donuts glaceados.,20.00,/assets/images/products/11.jpg,Doces,donuts;americano
12,Bolo de Fubá,Bolo de fubá cremoso com erva-doce.,25.00,/assets/images/products/12.jpg,Bolos,fuba;cafe
13,Pavê de Chocolate,Pavê de chocolate com biscoito champagne.,30.00,/assets/images/products/13.jpg,Especiais,pave;chocolate
14,Trufas de Chocolate,Caixa com 8 trufas artesanais.,28.00,/assets/images/products/14.jpg,Doces,trufa;chocolate
15,Bolo Floresta Negra,Bolo de chocolate com cerejas e chantilly.,60.00,/assets/images/products/15.jpg,Bolos,cereja;chocolate
16,Mousse de Maracujá,Mousse leve e aerado de maracujá.,15.00,/assets/images/products/16.jpg,Doces,mousse;fruta
17,Torta Holandesa,Torta holandesa com creme leve e cobertura de chocolate.,40.00,/assets/images/products/17.jpg,Especiais,holandesa;torta
18,Bolo de Coco,Bolo gelado de coco embrulhado.,8.00,/assets/images/products/18.jpg,Bolos,coco;gelado
19,Cookies Chocolate,Pacote com 5 cookies crocantes.,18.00,/assets/images/products/19.jpg,Doces,cookies;chocolate
20,Bolo de Laranja,Bolo de laranja fofinho com calda cítrica.,28.00,/assets/images/products/20.jpg,Bolos,laranja;cafe
21,Pudim de Leite,Pudim de leite condensado sem furinhos.,35.00,/assets/images/products/21.jpg,Especiais,pudim;leite
22,Beijinho de Coco,Caixa com 10 beijinhos tradicionais.,15.00,/assets/images/products/22.jpg,Doces,coco;festa
23,Bolo de Nozes,Bolo de nozes com doce de leite.,65.00,/assets/images/products/23.jpg,Bolos,nozes;doce de leite
24,Torta de Morango,Torta de massa podre com creme e morangos frescos.,45.00,/assets/images/products/24.jpg,Especiais,morango;torta
25,Alfajor,Alfajor recheado com doce de leite e coberto com chocolate.,8.00,/assets/images/products/25.jpg,Doces,alfajor;argentino
26,Bolo de Limão,Bolo de limão com cobertura de glacê.,30.00,/assets/images/products/26.jpg,Bolos,limao;citrico
27,Quindim,Quindim tradicional de gema e coco.,6.00,/assets/images/products/27.jpg,Doces,quindim;brasileiro
28,Bolo de Aipim,Bolo de aipim com coco ralado.,28.00,/assets/images/products/28.jpg,Bolos,aipim;mandioca
29,Tiramisu,Sobremesa italiana com café e mascarpone.,48.00,/assets/images/products/29.jpg,Especiais,cafe;italiano
30,Palha Italiana,Palha italiana de chocolate meio amargo.,7.00,/assets/images/products/30.jpg,Doces,chocolate;biscoito
31,Bolo de Banana,Bolo de banana caramelizada com canela.,32.00,/assets/images/products/31.jpg,Bolos,banana;canela
32,Cannoli,Cannoli siciliano com recheio de ricota doce.,12.00,/assets/images/products/32.jpg,Especiais,italiano;ricota
33,Pão de Mel,Pão de mel recheado com doce de leite.,9.00,/assets/images/products/33.jpg,Doces,mel;chocolate
34,Bolo de Milho,Bolo de milho cremoso.,25.00,/assets/images/products/34.jpg,Bolos,milho;junina
35,Petit Gateau,Bolinho de chocolate com interior cremoso.,18.00,/assets/images/products/35.jpg,Especiais,chocolate;quente
36,Camafeu de Nozes,Doce fino de nozes banhado no fondant.,5.00,/assets/images/products/36.jpg,Doces,nozes;fino
37,Bolo de Churros,Bolo com massa de canela e recheio de doce de leite.,50.00,/assets/images/products/37.jpg,Bolos,churros;doce de leite
38,Banoffee,Torta de banana com doce de leite e chantilly.,42.00,/assets/images/products/38.jpg,Especiais,banana;doce de leite
39,Bala de Coco,Pacote de balas de coco geladas.,15.00,/assets/images/products/39.jpg,Doces,coco;bala
40,Bolo de Abacaxi,Bolo gelado de abacaxi com coco.,48.00,/assets/images/products/40.jpg,Bolos,abacaxi;gelado
41,Profiteroles,Carolinas recheadas com sorvete e calda de chocolate.,22.00,/assets/images/products/41.jpg,Especiais,sorvete;chocolate
42,Suspiros,Pacote de suspiros caseiros.,10.00,/assets/images/products/42.jpg,Doces,suspiro;merengue
43,Bolo de Maracujá,Bolo fofinho com calda de maracujá.,30.00,/assets/images/products/43.jpg,Bolos,maracuja;azedinho
44,Eclair de Chocolate,Bomba de chocolate com recheio cremoso.,12.00,/assets/images/products/44.jpg,Especiais,bomba;chocolate
45,Cocada Cremosa,Pote de cocada cremosa artesanal.,18.00,/assets/images/products/45.jpg,Doces,coco;pote
46,Bolo de Paçoca,Bolo com cobertura de paçoca e doce de leite.,45.00,/assets/images/products/46.jpg,Bolos,pacoca;amendoim
47,Mousse de Chocolate,Mousse de chocolate meio amargo aerado.,16.00,/assets/images/products/47.jpg,Especiais,chocolate;mousse
48,Goiabinha,Biscoito amanteigado com recheio de goiabada.,12.00,/assets/images/products/48.jpg,Doces,goiaba;biscoito
49,Bolo de Mandioca,Bolo de mandioca cremoso com coco.,26.00,/assets/images/products/49.jpg,Bolos,mandioca;coco
50,Torta de Nozes,Torta de nozes com caramelo salgado.,55.00,/assets/images/products/50.jpg,Especiais,nozes;caramelo